Time,Temp,DutyCycle
47640,19.4,0.2
47650,19.4,0.2
47660,19.4,0.2
47670,19.4,0.2
47680,19.4,0.2
47690,19.4,0.2
47700,19.4,0.2
47710,19.4,0.2
47720,19.4,0.2
47730,19.4,0.2
47740,19.4,0.2
47750,19.4,0.2
47760,19.4,0.2
47770,19.4,0.2
47780,19.4,0.2
47790,19.4,0.2
47800,19.4,0.2
47810,19.4,0.2
47820,19.4,0.2
47830,19.4,0.2
47840,19.4,0.2
47850,19.4,0.2
47860,19.4,0.2
47870,19.4,0.2
47880,19.4,0.2
47890,19.4,0.2
47900,19.4,0.2
47910,19.4,0.2
47920,19.4,0.2
47930,19.4,0.2
47940,19.4,0.2
47950,19.4,0.2
47960,19.4,0.2
47970,19.4,0.2
47980,19.4,0.2
47990,19.4,0.2
48000,19.4,0.2
48010,19.4,0.2
48020,19.4,0.2
48030,19.4,0.2
48040,19.4,0.2
48050,19.4,0.2
48060,19.4,0.2
48070,19.4,0.2
48080,19.4,0.2
48090,19.4,0.2
48100,19.4,0.2
48110,19.4,0.2
48120,19.4,0.2
48130,19.4,0.2
48140,19.4,0.2
48150,19.4,0.2
48160,19.4,0.2
48170,19.4,0.2
48180,19.4,0.2
48190,19.4,0.2
48200,19.4,0.2
48210,19.4,0.2
48220,19.4,0.2
48230,19.4,0.2
48240,19.4,0.2
48250,19.4,0.2
48260,19.4,0.2
48270,19.4,0.2
48280,19.4,0.2
48290,19.4,0.2
48300,19.4,0.2
48310,19.4,0.2
48320,19.4,0.2
48330,19.4,0.2
48340,19.4,0.2
48350,19.4,0.2
48360,19.4,0.2
48370,19.4,0.2
48380,19.4,0.2
48390,19.4,0.2
48400,19.4,0.2
48410,19.4,0.2
48420,19.4,0.2
48430,19.4,0.2
48440,19.4,0.2
48450,19.4,0.2
48460,19.4,0.2
48470,19.4,0.2
48480,19.4,0.2
48490,19.4,0.2
48500,19.4,0.2
48510,19.4,0.2
48520,19.4,0.2
48530,19.4,0.2
48540,19.4,0.2
48550,19.4,0.2
48560,19.4,0.2
48570,19.4,0.2
48580,19.4,0.2
48590,19.4,0.2
48600,19.4,0.2
48610,19.4,0.2
48620,19.4,0.2
48630,19.4,0.2
48640,19.4,0.2
48650,19.4,0.2
48660,19.4,0.2
48670,19.4,0.2
48680,19.4,0.2
48690,19.4,0.2
48700,19.4,0.2
48710,19.4,0.2
48720,19.4,0.2
48730,19.4,0.2
48740,19.4,0.2
48750,19.4,0.2
48760,19.4,0.2
48770,19.4,0.2
48780,19.4,0.2
48790,19.4,0.2
48800,19.4,0.2
48810,19.4,0.2
48820,19.4,0.2
48830,19.4,0.2
48840,19.4,0.2
48850,19.4,0.2
48860,19.4,0.2
48870,19.4,0.2
48880,19.4,0.2
48890,19.4,0.2
48900,19.4,0.2
48910,19.5,0.2
48920,19.5,0.2
48930,19.5,0.2
48940,19.5,0.2
48950,19.5,0.2
48960,19.5,0.2
48970,19.5,0.2
48980,19.5,0.2
48990,19.5,0.2
49000,19.5,0.2
49010,19.5,0.2
49020,19.5,0.2
49030,19.5,0.2
49040,19.5,0.2
49050,19.5,0.2
49060,19.5,0.2
49070,19.5,0.2
49080,19.5,0.2
49090,19.5,0.2
49100,19.5,0.2
49110,19.5,0.2
49120,19.5,0.2
49130,19.5,0.2
49140,19.5,0.2
49150,19.5,0.2
49160,19.5,0.2
49170,19.5,0.2
49180,19.5,0.2
49190,19.5,0.2
49200,19.5,0.2
49210,19.5,0.2
49220,19.5,0.2
49230,19.5,0.2
49240,19.5,0.2
49250,19.5,0.2
49260,19.5,0.2
49270,19.5,0.2
49280,19.5,0.2
49290,19.5,0.2
49300,19.5,0.2
49310,19.5,0.2
49320,19.5,0.2
49330,19.5,0.2
49340,19.5,0.2
49350,19.5,0.2
49360,19.5,0.2
49370,19.5,0.2
49380,19.5,0.2
49390,19.5,0.2
49400,19.5,0.2
49410,19.5,0.2
49420,19.5,0.2
49430,19.5,0.2
49440,19.5,0.2
49450,19.5,0.2
49460,19.5,0.2
49470,19.5,0.2
49480,19.5,0.2
49490,19.5,0.2
49500,19.5,0.2
49510,19.5,0.2
49520,19.5,0.2
49530,19.5,0.2
49540,19.5,0.2
49550,19.5,0.2
49560,19.5,0.2
49570,19.5,0.2
49580,19.5,0.2
49590,19.5,0.2
49600,19.5,0.2
49610,19.5,0.2
49620,19.5,0.2
49630,19.5,0.2
49640,19.5,0.2
49650,19.5,0.2
49660,19.5,0.2
49670,19.5,0.2
49680,19.5,0.2
49690,19.5,0.2
49700,19.5,0.2
49710,19.5,0.2
49720,19.5,0.2
49730,19.5,0.2
49740,19.5,0.2
49750,19.5,0.2
49760,19.5,0.2
49770,19.5,0.2
49780,19.5,0.2
49790,19.5,0.2
49800,19.5,0.2
49810,19.5,0.2
49820,19.5,0.2
49830,19.5,0.2
49840,19.5,0.2
49850,19.5,0.2
49860,19.5,0.2
49870,19.5,0.2
49880,19.5,0.2
49890,19.5,0.2
49900,19.5,0.2
49910,19.5,0.2
49920,19.5,0.2
49930,19.5,0.2
49940,19.5,0.2
49950,19.5,0.2
49960,19.5,0.2
49970,19.5,0.2
49980,19.5,0.2
49990,19.5,0.2
50000,19.5,0.2
50010,19.5,0.2
50020,19.5,0.2
50030,19.5,0.2
50040,19.5,0.2
50050,19.5,0.2
50060,19.5,0.2
50070,19.5,0.2
50080,19.5,0.2
50090,19.5,0.2
50100,19.5,0.2
50110,19.5,0.2
50120,19.5,0.2
50130,19.5,0.2
